ridge_lambda,lambda_label,parameter,rms_standardized_jump,mean_absolute_standardized_jump,maximum_absolute_standardized_jump,baseline_rms_standardized_jump,rms_jump_reduction_percent
0.0,0,w_min,0.4076677841820893,0.28529854237418145,1.3243448170595047,0.4076677841820893,0.0
0.0,0,b,1.2441592762365183,0.39227353478697546,7.409495582351846,1.2441592762365183,0.0
0.0,0,rho,1.2233622326918006,0.43050017183015843,8.308734334338785,1.2233622326918006,0.0
0.0,0,m,0.9491779935543635,0.5277510012306886,4.75027046457889,0.9491779935543635,0.0
0.0,0,svi_sigma,0.6669925012804988,0.48847828394627046,2.632685928218446,0.6669925012804988,0.0
1e-08,1e-08,w_min,0.3960168423939051,0.2782700454631432,1.3201040214717912,0.4076677841820893,2.8579500858915474
1e-08,1e-08,b,0.35412662652781696,0.12406480356517002,2.384140972870193,1.2441592762365183,71.53687367110894
1e-08,1e-08,rho,0.2681737939223609,0.18324381986489063,1.3169858769438505,1.2233622326918006,78.07895431492192
1e-08,1e-08,m,0.5250801611064237,0.3713375907288506,2.1771287350527477,0.9491779935543635,44.68053782619117
1e-08,1e-08,svi_sigma,0.6923511169684075,0.5030412775537938,2.8062913101368885,0.6669925012804988,-3.801934150567643
3e-08,3e-08,w_min,0.3930987390714868,0.27561432888765325,1.3117259190203954,0.4076677841820893,3.5737543352444834
3e-08,3e-08,b,0.14799240634779837,0.07154751588349033,0.9096084596352999,1.2441592762365183,88.10502729236859
3e-08,3e-08,rho,0.2048154643132842,0.1544347543476079,0.6818849983307941,1.2233622326918006,83.25798697719951
3e-08,3e-08,m,0.46087906413713425,0.3328582312469578,2.0216565183929673,0.9491779935543635,51.44440060064059
3e-08,3e-08,svi_sigma,0.6648739367612446,0.4836040153337316,2.710492087635568,0.6669925012804988,0.3176294358912535
1e-07,1e-07,w_min,0.3854001565393974,0.26941209284129963,1.282959027761748,0.4076677841820893,5.462199493484099
1e-07,1e-07,b,0.08045735958857606,0.05072478365554307,0.39643129014989925,1.2441592762365183,93.53319457361174
1e-07,1e-07,rho,0.1851304737128247,0.13695546303765507,0.6324576107521931,1.2233622326918006,84.86707626199342
1e-07,1e-07,m,0.388777472632886,0.280447982973673,1.7434919300099307,0.9491779935543635,59.040614587255604
1e-07,1e-07,svi_sigma,0.5698469775319394,0.41320487963218594,2.3619682442062597,0.6669925012804988,14.564710032280503
3e-07,3e-07,w_min,0.36527191465423936,0.2546114210000703,1.2066557126663058,0.4076677841820893,10.399612422872584
3e-07,3e-07,b,0.06937711955543341,0.044855470388320544,0.2435928314521517,1.2441592762365183,94.4237750840637
3e-07,3e-07,rho,0.14463114117289866,0.10931520467379297,0.4747674814702532,1.2233622326918006,88.17757019892119
3e-07,3e-07,m,0.2893099875904604,0.2067701895663524,1.2847917054390008,0.9491779935543635,69.51994361910052
3e-07,3e-07,svi_sigma,0.4145328038858352,0.3012051357623696,1.7196640934574332,0.6669925012804988,37.85045512655525
1e-06,1e-06,w_min,0.3101984876418851,0.21820376076619954,1.015732553604826,0.4076677841820893,23.909001476719205
1e-06,1e-06,b,0.06538936378563082,0.04333675540041986,0.22524385591460158,1.2441592762365183,94.74429319183085
1e-06,1e-06,rho,0.098300209752098,0.07553554481247539,0.2964365316439611,1.2233622326918006,91.96475033107691
1e-06,1e-06,m,0.17729939490411828,0.12317954015677192,0.689158750596892,0.9491779935543635,81.32074320010416
1e-06,1e-06,svi_sigma,0.234676317013069,0.1696091212525566,0.8941782480277909,0.6669925012804988,64.81574881838475
3e-06,3e-06,w_min,0.22476042213688777,0.15878876406392928,0.7567686543281233,0.4076677841820893,44.86676876176803
3e-06,3e-06,b,0.06131236810930635,0.04171342256696315,0.20669309623390425,1.2441592762365183,95.07198400716254
