ridge_lambda,lambda_label,pooled_weighted_mse,mean_daily_weighted_mse,pooled_unweighted_mse,pooled_iv_rmse_pp,mean_daily_iv_rmse_pp,maximum_daily_iv_rmse_pp,rms_standardized_jump,mean_absolute_standardized_jump,maximum_absolute_standardized_jump,mean_absolute_w_min_change,mean_absolute_minimum_location_change,mean_absolute_left_slope_change,mean_ridge_penalty,mean_total_objective,optimizer_successes,dates_with_box_bound_hits,dates_with_active_constraints,iv_rmse_increase_percent,weighted_mse_increase_percent,rms_jump_reduction_percent,mean_absolute_jump_reduction_percent,maximum_jump_reduction_percent,within_fit_tolerance
0.0,0,5.167452685381605e-06,5.172749918958748e-06,7.405607253054304e-05,0.7542111447433475,0.7422089080332551,1.0189466111010488,0.9546264546401678,0.4248603068336549,8.308734334338785,0.0003769991990291817,0.009343310054974114,0.0078008929256221495,0.9113116678988564,5.172749918958748e-06,103,0,97,0.0,0.0,0.0,0.0,0.0,True
1e-08,1e-08,5.168549785043718e-06,5.173849137520284e-06,7.404884779790896e-05,0.7542786934368902,0.7422792573756157,1.0193203401832265,0.47100136636261963,0.29199150743516966,2.8062913101368885,0.00036771160266156616,0.00940392137541778,0.007240108071252208,0.22184228711545456,5.176046022305312e-06,103,0,96,0.008956204640253596,0.021230957086793012,50.6611864700359,31.27352620646372,66.22480395673627,True
3e-08,3e-08,5.169032857805299e-06,5.174330648443928e-06,7.409389820375285e-05,0.7543396842444188,0.7423327360392641,1.0200499630990103,0.4178144585727945,0.26361176913988815,2.710492087635568,0.0003642022856721539,0.009401786031349418,0.006921601548006431,0.17456892179247738,5.179516870780675e-06,103,0,94,0.017042906614039843,0.03057933027938997,56.23267545730404,37.95330726362729,67.37779812704446,True
1e-07,1e-07,5.170931622881848e-06,5.176216573400831e-06,7.424928039005815e-05,0.7545787277195302,0.7425373015182782,1.0221138154225162,0.3647337277244301,0.23014904042807133,2.3619682442062597,0.00035600652693393173,0.009401959176698014,0.006200540311041721,0.13303069213975863,5.189390486603019e-06,103,0,92,0.048737409775045926,0.06732403201454851,61.79304208975531,45.829479307375884,71.57246640508663,True
3e-07,3e-07,5.178531952113938e-06,5.1837766392045795e-06,7.459865783446817e-05,0.7553504365260452,0.7432263506050477,1.024139651069881,0.28799049906793883,0.18335148427818118,1.7196640934574332,0.00033644862319280784,0.00945219178033247,0.005027128121821234,0.08293852755340046,5.208416628943745e-06,103,0,84,0.15105740489758102,0.2144048026540446,69.83212672683656,56.84428944547917,79.30293563063735,True
1e-06,1e-06,5.201432632154254e-06,5.206595368634969e-06,7.537188286784896e-05,0.7574187936369032,0.7451258539014811,1.0236697995628488,0.19832793603982962,0.12597294447768467,1.015732553604826,0.00028833881291311114,0.009649795543125552,0.0035893306675658654,0.03933397021381874,5.245547455642829e-06,103,0,60,0.42529852759565223,0.6575763503123389,79.22455060030927,70.3495613848891,87.77512298826366,True
3e-06,3e-06,5.244828424328003e-06,5.249825392263039e-06,7.660196593275732e-05,0.761101277226556,0.748485819451844,1.0426493373208354,0.13590031124811316,0.08711295149128169,0.7567686543281233,0.00020982664814467162,0.009890611506691065,0.0027487085933395315,0.01846889459733403,5.304694147086186e-06,103,0,37,0.9135548488285794,1.4973671489105111,85.7640325608472,79.49609551889984,90.8918901017149,True
1e-05,1e-05,5.34967260557327e-06,5.354080856098395e-06,7.828986143429142e-05,0.7694636012167749,0.7561205628012185,1.1135774279170083,0.0903254105797998,0.058668352339899484,0.491399968426995,0.00011990032771778128,0.00999044589496633,0.002209396889055432,0.00815867979640941,5.434875549227886e-06,103,0,21,2.02230589931387,3.5263006995139623,90.53814084653179,86.1911429718781,94.08574220027579,True
3e-05,3e-05,5.531485200774697e-06,5.535365793431746e-06,7.863512393852614e-05,0.7822467254740225,0.7681215950265471,1.164642156284996,0.06580998885912033,0.0425032458200334,0.27226422951812657,7.098549612235338e-05,0.009834986972458739,0.0019310785271846348,0.0043309546336375414,5.664032989343695e-06,103,0,16,3.717205841636728,7.0447188887266865,93.10620520317275,89.99594804777217,96.72315639708327,True
0.0001,1e-04,5.9136690201112295e-06,5.9142429344605345e-06,7.78320465369208e-05,0.8082130471759338,0.7919682489225418,1.1580102688271903,0.051640132562035965,0.03148876048884777,0.28320544651365676,3.875984035217947e-05,0.009308747330890928,0.0017350493876698357,0.002666703291024647,6.1783242312416146e-06,103,0,17,7.160050976303567,14.440699899209974,94.59054038246815,92.58844378202255,96.59147307980218,False
